name,position,team,number_of_games,value
Guilherme Castilho,Volante,Juventude,29,2
Maicon,Volante,Grêmio,4,1
Lucas Ribeiro,Zagueiro Direito,Internacional,7,1
Maxwell,Atacante,Sport,7,1
Kadu,Zagueiro Direito,Chapecoense,9,1
Anderson Conceição,Zagueiro Esquerdo,Cuiabá,10,1
Kuscevic,Zagueiro Direito,Palmeiras,10,1
Pedro Henrique,Zagueiro Direito,Internacional,10,1
Danilo Fernandes,Goleiro,Internacional,11,1
Quintero,Zagueiro Direito,Fortaleza,11,1
Vargas,Atacante,Atlético-MG,13,1
Thiago Neves,Meia Central,Sport,14,1
Xavier,Volante,Corinthians,14,1
Hernanes,Meia Central,São Paulo,15,1
Victor Luis,Lateral Esquerda,Palmeiras,15,1
